word,segmentation,segment_type,related_words,notes
dietetics,die.te.tics,verified,,dietician
hieroglyph,hiero.glyph,verified,hi.er,想象： 高端人士 hier. archy 等级制度 -glyph = -graph -graphy
paleography,pale.o.graphy,verified,,". 只有考古学是 archae- ,其他都是paleo-"
elocution,e.locu.tion,verified,locu.tion; e.loqu.ent,说话 [ləˈkjuːʃn] 说话风格，惯用语 口才好的；
etymology,etym.ology,verified,,
iconography,icon.o.graphy,verified,,
aesthetic,aes.the.tic,verified,,an+aesthetic [ ˌænəsˈθetɪk]
horology,hor.ology,verified,chron.ology; chron.ograph; chron.ometer,hor发音跟horse的hor一样 hour 年代学 秒表 天文表
zymurgy,zym.ur.gy,verified,zym.ology; en.zym.e,-zym- 词根 酶；
horticulture,horti.cul.ture,verified,,horde 量词：一大群（人） horse
agnostic,agnos.tic,verified,a.gnos; tic.ism; dia.gno.sis; ignor.amus,· [æɡˈnɒstɪsɪzəm] 不可知论 [ˌdaɪəɡ'noʊsɪs] 诊断 无知识的人
metaphysics,meta.phys.ics,verified,phys.ic.al,
ballistics,ball.is.tics,verified,,
dominant,do.min.ant,verified,,
recessive,re.cess.ive,verified,re.cess,休息(67%)，壁龛(13%) cess 走 dominant 首要的。（基因）显性的。
harpoon,harp.oon,verified,ball.oon,harp 竖琴
trawl,tr.awl,verified,dr.awl,联想track拖 awl 锥子 拖长声音说话
trammel,tramm.el,verified,,
barometer,baro.meter,verified,,
sextant,sex.tant,verified,quadr.ant; hexa.pod,四分仪 昆虫
chiromancy,chiro.mancy,verified,,necromancy 通灵术。necromancer 通灵者 chiromancy 手相术。chiromancer 手相术士
horoscope,horo.scope,verified,horo.logy; astr.ology,计时学 占星学
alchemy,al.chemy,verified,chem.ical,
homiletics,homi.let.ics,verified,,家来
stenography,sten.ography,verified,sten.cil,(59019) 漏字模板 shorthand (14968)
terminology,termin.ology,verified,termin.al,lexicon 术语的全列表
tuxedo,tux.edo,verified,,tux 简写
vestment,vest.ment,verified,vest.ry; in.vest.ment; in.vest.iture,vest 马甲 教堂中换祭服的房间 投资 授衔仪式
rawhide,raw.hide,verified,hide.bound,生.隐藏 守旧的 迂腐的 hind 后面
sponge,spon.ge,verified,,
linoleum,lino.leum,verified,petro.leum; mauso.leum,"lino-,麻布，词源同linen [pəˈtrəʊliəm]"
linen,li.nen,verified,li.ning; Le.nin,李宁 列宁 flax 亚麻 lien [ˈliːən] 扣押权 liege [liːdʒ] 领主 君主
ferroconcrete,ferro.concrete,verified,,ferrum 拉丁 铁
girdle,gird.le,verified,gird.er,大梁，主体框架
cravat,crav.at,verified,crav.en; cave.at,crave 渴望。恳求 怯懦的 caret 插入符号 [ˈkæviæt] 警告
emollient,e.moll.ient,verified,moll.ify; moll.usc; e.mul.sion,发音：一魔力 v.安抚，安慰 n.软体动物 乳剂
trinket,tr.ink.et,verified,,小把戏 bauble 低廉花哨的饰物
spangle,spang.le,verified,,spank span star spangled banner
insignia,in.sign.ia,verified,en.sign,epaulet 肩章。 标明国籍的旗帜；海军少尉 emblem （代表国家或组织的）徽章 embroidery n.刺绣；刺绣品 insignia 代表身份的徽章（贵族徽章、上尉徽章）
chevron,chev.ron,verified,e.che.lon,
millinery,mill.in.ery,verified,mi.li.tary,军事的
crinkle,cr.ink.le,verified,wr.ink.le; cr.ing.e; v.n,.畏缩
pucker,puck.er,verified,pok.er; pock.et,puck [pʌk]冰球运动ice hockey中的球 扑克 pock (24393)[pɒk]复数pox 痘疮
garment,gar.ment,verified,rai.ment,attrie (11035)(formal)服装(不可数名词) raiment (45642)(old use)服装 garment (6194)（一件）衣服 apparel (9130)[əˈpærəl]（店里卖的）衣服
raiment,rai.ment,verified,,联想：过去下雨才需要穿衣服 rain attrie (11035)(formal)服装(不可数名词) raiment (45642)(old use)服装 garment (6194)（一件）衣服 apparel (9130)（店里卖的）衣服
attire,at.tire,verified,at.tic,tired 疲倦的 阁楼 attrie (11035)(formal)服装 (不可数名词) raiment (45642)(old use)服装 garment (6194)（一件）衣服 apparel (9130)（店里卖的）衣服
desideratum,de.sider.atum,verified,de.cide; de.sider.ata; con.sider.ation; ultim.atum,联想：决定的东西 复数 requisite 必备的，必备的东西
requisite,re.qui.site,verified,pre.re.quisite; per.qui.site; ex.qui.site; re.quite,必需的；必需品 ； 前提条件 补贴；特权 精美的 报答 desideratum n. 想要的东西，需要的东西 requisite 比 necessary ：前者强调某个专项用途，意思上也更强烈
dainty,dain.ty,verified,dis.dain; or.dain,想象：dain 尊贵 鄙视 授予圣职
appetizer,ap.pet.izer,verified,ap.pet.ite,n.胃口 食欲 hors d' oeuvre 餐前小吃 （大概起到餐前冷盘菜的作用吧）
gruel,gru.el,verified,por.ridge,glue grunt 嘟嘟囔囔。所以gru也是象声词。
confection,con.fect.ion,verified,af.fect; ef.fect; in.fect.ion; de.fect.ion; per.fect.ion,v.影响；感动 n.效果 v.影响 n.传染 n.叛逃
margarine,mar.gar.ine,verified,mar.gar.et,玛格丽特（珍珠） 大家都恨人造黄油，所以 -ine结尾。大家喜欢saccharin所以-in结尾 【植脂末】Non-dairy creamer 或者 creamer 用在咖啡伴侣上。而用来伪装黄油，虽然都是植物油做的，但是用途不同。这两个词不能混用。
saccharin,sac.char.in,verified,mar.gar.ine; guil.lot.ine; bac.chan.al.ian,sack 麻袋 人造黄油 断头台 纵酒狂欢的
ferment,fer.ment,verified,fer.vent,[fəˈment]动词 [ˈfəment]名词 充满热情的 fo .ment [fəʊˈment] vt. 挑起、煽动
carrion,carr.ion,verified,,发音 carry.嗯
venison,veni.son,verified,,风的儿子 veal 小牛肉
asparagus,as.para.gus,verified,para.gon,完人
stethoscope,stetho.scope,verified,,stealth
scalpel,scalp.el,verified,v.n,scalp 带发的头皮 sculpt . 雕塑。sculpture 柳叶刀 lancet [ˈlɑ:nsɪt]
splint,spl.int,verified,spr.int; v.n; spl.int.er; l.int; fl.int,联想冲刺摔断了胳膊，所以splint与sprint 相关。 . 冲刺 (木头金属等)尖碎片 纱布、线头子 燧石
salutary,sa.lut.ary,verified,sa.lute; sa.lubr.ious,"v.敬礼 (环境)宜人的,清洁而有益健康的"
salubrious,salu.brious,verified,salu.tary; v.n,adj. 有益的（良药苦口） salute . 致敬；敬礼
recuperate,re.cup.er.ate,verified,re.coup,
inflamed,in.flam.ed,verified,flam.ed; in.flamm.able; flamm.able; in.flamm.ation,燃烧 的过去分词。 后面加“长尾巴”的时候，重音在后面，所以m写两遍 易燃的；易激动的 易燃的 发炎 炎症
remediable,remedi.able,verified,,remedy 疗法;治疗 y变成了i
remittent,re.mit.tent,verified,re.mit; mitt.ance,职权范围；汇款；提交（到某部门） re· 汇款金额 mitten 连指手套
granule,gran.ule,verified,gran.ite; grand.ma,花岗岩 grain 谷物
fodder,fodd.er,verified,,food
sustenance,sus.ten.ance,verified,sub.sist.ence,n.勉强维持生活的状态
convalescence,con.vale.scence,verified,vale.diction; esc.ent; esc.e; esc.ence; eva.ne.scence,（尤指正式演讲中的）告别，告别辞 valedictorian [ˌvælɪdɪkˈtɔːriən] （毕业典礼上）致告别辞的最优生 - 具有xx特征的； - 动词后缀; - 名词后缀; 瞬息即逝
latency,laten.cy,verified,,late -> laten ->
incubation,in.cub.ation,verified,,cub （熊、狮、狐狸等的）幼兽 cuba 古巴
quarantine,quar.ant.ine,verified,quar.ter; quar.ter.master,四分之一；住舱 军需官
allopathy,allo.pathy,verified,homeo.pathy,allo希腊语 other ；alias
homeopathy,home.o.pathy,verified,a.pathy; idio.pathy,. homo 相同的 。homosexual 冷漠 自发病 naturopathy 自然疗法
feticide,feti.cide,verified,fet.us,胎儿 -cide 杀
clyster,cly.ster,verified,cata.cly.sm,enema [ˈenəmə] n. 灌肠剂
acupuncture,acu.punct.ure,verified,punct.ure,acu:尖 acute 严重的；急性的； 锐角 的 v.刺出小孔 n.小孔（15306）
inoculation,in.ocul.ation,verified,ocul.ar,眼睛的；可以被看到的 incubation 孵化；（细菌）繁殖；潜伏期；
tranquilizer,tran.quil.izer,verified,,tranquil 宁静的
analgesic,an.alg.esic,verified,an.aesth.etic,anal [ˈeɪnl] 肛门的 麻醉剂
soporific,sopor.ific,verified,,-fic 做 soprano hypnosis n. 催眠状态
opiate,opi.ate,verified,opi.um,
nostrum,nostr.um,verified,nost.alg.ia; str.um,怀旧 弹奏 秘方(61%)，妙策(17%)，万灵药(11%)，骗人特效药(11%)
gestation,gest.ation,verified,di.gest.ion,[daɪˈdʒestʃən] 消化 gesture conceive v. 怀孕；构思；相当于它的动词
caret,car.et,verified,car.rot,[ˈkærət] 胡萝卜 crate [kreɪt] 运货用的箱子，板条箱
bracket,brack.et,verified,rack.et; brace.let,喧嚣。诈骗。球拍。壁上网球。 手镯 parenthesis 插入语 括号 词源：brace 架子；支撑；大括号；
parenthesis,paren.thesis,verified,paren.theses,"parent 父亲（或母亲） thesis 论文 复数 在英国,圆括号方括号都叫做bracket 或round bracket , parethesis 是非常正式的叫法。"
asterisk,aster.isk,verified,aster.oid,小行星
ellipsis,el.lip.sis,verified,el.lip.se; ec.lip.se; n.v,椭圆的复数 椭圆 . 日食 月食
litmus,lit.mus,verified,,lith- 石
celestial,cele.sti.al,verified,ec.clesi,+astical 教会的 [ɪˌkli:ziˈæstɪkl]
pallid,pall.id,verified,pall.ia.tive; plac.id,治标药物 pall 浓密的云烟；棺罩；~ on 使乏味（21234） pale （人）苍白的。（颜色）黯淡的 wan 苍白无力的 （人或地方）平和的安静的
rubicund,rubi.cund,verified,fe.cund; jo.cund; rub.ric,（生育）多产的 高兴的，快乐的 ruby 红宝石 套红标题，标题，“红字”（重要提示） 与ruddy比，它更长更复杂，所以对应的意思更少
auxin,aux.in,verified,auxi.li.ary,[ɔːɡ'zɪliəri]
irritant,ir.rit.ant,verified,ir.rit.ate,动词 rite 宗教仪式（大的、典礼性的） ritual n.宗教仪式（小的，拜一拜这种） adj.仪式性的
laxative,lax.ative,verified,,relax v.放松 lax （管理）过于松弛的；（身体）放松的；(13428) palliative n.治标药物；保守疗法
purgative,purg.ative,verified,purg.atory,purge 炼狱 palliative 治标药物，缓解剂 laxative 轻泻剂
catharsis,cath.ar.sis,verified,Cath.er.ine; cath.ode,阴极 -sis 跟 tion 一样，它的前一个音节发重音
sanitize,san.it.ize,verified,,
unguent,ung.uent,verified,,ungulate 有蹄类 unction 傅油礼--～虚假地奉承
astringent,a.string.ent,verified,,医学词汇收敛剂。在化妆上，油性皮肤也建议用一点。 stringent 严厉的；（金融）银根紧的、收紧的
chronicle,chron.ic.le,verified,chron.ic; cron.y; chron.ology; or.ine,慢性的 花很长时间在一起玩的好友； 历史年表 ch l [ˈklɔ:ri:n] 氯
parable,par.able,verified,par.ley,谈判，会谈 palatable 可口的 parable （尤指圣经中的）寓言故事 allegory （带讽喻的）寓言故事 aphorism （未必广为人知的）隽语格言
parody,par.ody,verified,mel.ody; thren.ody; rhaps.ody; char.ade; past.i.che,做戏；装模作样。打哑谜猜字游戏 刻意模仿作品 （没说滑稽）；多种风格混合的作品
ovation,ov.ation,verified,,联想：群众不能oration，只能ovation oration 致辞（在仪式上） acclamation 喝彩；欢呼。（口头表决）拥护，赞成
peroration,per.ora.tion,verified,ora.tion,致辞
colloquium,col.loqu.ium,verified,col.loqu.ial; e.loqu.ent; ob.loquy; sym.pos.ium,口头语的 雄辩的；口才好的 公开的抨击 专题讨论会；小型讨论会
tirade,tir.ade,verified,,tire harangue 是动词
harangue,ha.ran.gue,verified,,-ue 是常见结尾，如 argue vague critique 。这些-ue 都发音。而本词丢失了这个音
inception,in.cept.ion,verified,re.ception; de.ception; pre.cept; in.cipi.ent,接待、招待会(65%)，前台(12%)，接收(10%) n.欺骗 n. (思想、行动的)准则、规范； 形容词 incept 动词 （很罕见没人用）
valediction,vale.diction,verified,con.vale.scent; con.vale.scence,恢复中的 n.康复期 : （尤指正式演讲中的）告别，告别辞 valedictorian / ˌvælɪdɪkˈtɔːriən/ （毕业典礼上）致告别辞的最优生
treatise,treat.ise,verified,chast.en,想象：专题论文都是讲怎么 treat 处理 ise 特定的事 论文。 treat 对待。 treaty 条约 chastise 严厉惩罚。 使内疚
disquisition,dis.quis.ition,verified,ex.quis.ite; per.quis.ite; re.quis.ite,"精美的；剧烈的（疼痛等） 补贴；特权 必须的； discourse 一场长而严肃的专题讨论，以论文或演讲的形式； 语篇 disquisition 专题(演讲,论文,报告)"
epitaph,epi.taph,verified,ceno.taph; epi.tome,-taph墓 空墓、纪念碑 榜样 eulogy 悼文，主要指葬礼上念的，不是墓碑上刻的
holograph,holo.graph,verified,holo.gram; holo.graphic; homo.graph; mono.graph,是graph不是graphy，因为不是一本书。 激光全息图 全息图的 holography 激光全息图 holo- 全 同形异意词 专著
epistle,epi.stle,verified,apo.stle; pe.stle,使徒 杵
facsimile,fac.sim.ile,verified,sim.ile; as.sim.il.ate,n. 明喻 vt.透彻理解，吸收；融入，同化；
anthology,anth.ology,verified,anth.rop.ology,/ ˌænθrəˈpɒlədʒi / 人类学
dossier,dos.si.er,verified,en.dorse,背书; 跟没什么联系。
encyclopedia,en.cyclo.pedia,verified,,cycle
primer,prim.er,verified,prim.e; prim.ate; pre.mi.er,"底漆(72%)，入门书(13%) 最好的(33%), 首要的(12%)，典型的(9%)，壮年(17%)，全盛时期(14%)， 灵长类；大主教 总理： [prɪˈmɪr]"
potpourri,pot.pour.ri,verified,por.ridge,pot [pɒt] pour [ pɔː(r)] v. 倒（水） 粥。跟它几乎无关。
denouement,de.noue.ment,verified,de.noue; pro.logue; epi.logue,"得奴魔 -noue:结,词源同net. :解开结 开场白，序言； opening 开头部分，开局； 收场白，跋； denouement 结尾部分，结局；"
longueurs,long.u.eur.s,verified,,verbiage n.连篇累牍晦涩难懂
banquet,ban.quet,verified,ban.quette; bou.quet,[bæŋˈket]（饭店沿墙摆放的）长沙发 花束 boutique 精品店
avocation,a.vocation,verified,,[ˌæv əʊ ˈkeɪʃn] vocational [v əʊ ˈkeɪʃənl] 职业的 vacation [v ə ˈkeɪʃn] 假期 invocation 向神求助。召唤 a没mat垫子.eur 业余爱好者；业余爱好的
legerdemain,leger.de.main,verified,,= light轻 of hand leger 分类账 main 主要的
charade,char.ade,verified,past.i.che; par.ody; n.v,刻意模仿作品 （没说滑稽） . 滑稽模仿秀
acronym,acro.nym,verified,acro.bat,acro- 高的地方； 杂技演员
salutation,salut.ation,verified,salut.ary,salute 动词 对身体有益的（尽管良药苦口）
annotate,an.not.ate,verified,con.not.ation; n.v,这里的an不是否定，是ad的变体 （一个词的）隐含意思 gloss 光泽；.注释
emblem,em.blem,verified,pro.blem,embodiment n. （体现一种思想或品质的）典型，化身 = epitome embroidery n.刺绣；刺绣品 emblem （代表国家或组织的）徽章 insignia 代表身份的徽章（贵族徽章、上尉徽章）
exaggeration,ex.ag.ger.ation,verified,extra.vag.ant,奢侈的；无节制的；
hyperbole,hyper.bole,verified,,hyper- 上面，高的； hypo- 下面，低的 hype 大肆宣扬的言过其实的广告 bole 树干
simile,sim.ile,verified,fac.sim.ile; n.v; as.sim.il.ate,.摹本；传真； vt.透彻理解，吸收；融入，同化； metaphor 暗喻
excursion,ex.cur.sion,verified,in.cur.sion; ex.ped.ition,联想：cur咒骂。出去骂人 n.突然的入侵；意外的打搅 curse v.咒骂 n.骂人的话 cursor n. 光标 远征；远征队；短途旅行
itinerary,iti.ner.ary,verified,,
intermission,inter.mission,verified,re.mission; inter.lude,病的缓解期；债务、刑罚的减免。 幕间插曲；=>幕间休息，两件事之间的间歇
recess,re.cess,verified,re.cede; re.cess.ion; re.cess.ive,n. 休会；隐蔽处 v. 后退 经济衰退 （基因）隐性的 accede v.同意；（君主）就职 access n.通道；=>机会 v. （computer)存取 excess n.过量；免赔额 exceed v.超过 process n.过程 proceed v.继续做
karate,kara.te,verified,kara.oke,
tournament,tour.na.ment,verified,,锦标赛：失败后出局 league 联赛：积分制，失败后不出局
Saturnalia,satur.na.lia,verified,satur.na.lian; satur.day; Baccha.nalia,农神节 农神节的；狂欢的 /ˈsætədeɪ/ 星期六， 酒神节 源自 Saturn 农神 saturnine (表情) 严肃而令人畏惧的； saturation n.饱和度
revelry,re.vel.ry,verified,re.vel; re.bel,"n. 狂欢。词源同rebel.字母b,v 音变。 reverie 白日梦 ravel 解开。纠缠 orgy （涉及性的）狂欢 carouse 痛饮狂欢"
halloween,hallow.een,verified,,联想：hall大厅 low低 hall [hɔ:l] 大厅(89%)，礼堂(11%) harrow 耙子
deposition,de.posit.ion,verified,de.pose; de.posit; de.posit.ory,沉积；废黜；陈堂证供； v. 废黜 v. 存款，沉积 [dɪˈpɒzɪtri] 仓库 sediment （地质）沉积； precipitate 加速（坏事）；化学中的沉淀物；鲁莽的 沉积(95%)，免职(3%)，证言(2%)
inaugurate,in.augur.ate,verified,,augur 征兆
investiture,in.vest.iture,verified,in.vest.ment; in.vesti.gate,也是人才投资 投资 v.调查 vestment 法衣 vestry 换法衣的房间
ascendancy,a.scend.ancy,verified,de.scend,
coterie,cote.rie,verified,,联想：村里人 cot. tage [ˈkɒtɪdʒ]n. 小屋子（村里的） 含义偏向 （志趣相同、合伙干事而排外的）小圈子 clique 联想：click 关门的声音 含义偏向 （排外的）小圈子
estate,e.state,verified,,
hierarchy,hier.archy,verified,hiero.glyph,-archy 统治 象形文字；象形符号
theocracy,the.o.cracy,verified,dem.o.cracy,
gerontocracy,ger.onto.cracy,verified,onto.logy; ger.onto.logy,（哲学）本体 老年病学 cracy crazy
matriarchy,ma.tri.archy,verified,pa.tri.archy,hierarchy
patriarchy,pa.tri.archy,verified,ma.tri.archy,
oligarchy,olig.archy,verified,olig.emia; olig.uria,ogle （色迷迷地）盯着看 oleg 人名（想象因为音节少，就用e代替i了） olig- 希腊词根“少” 少血症 少尿症
obsequies,ob.sequi.es,verified,sequ.el; con.sequ.ence; sequ.ence,其实是obsequy的复数 后传 后果 序列 葬礼 obloquy 公开的强烈批评；失去名誉； requiem 安魂曲 obstetrics 产科学
requiem,re.quiem,verified,,(quiet) quiet quiescent obse. quies 葬礼
ordination,ordin.ation,verified,ordin.ance; ordin.ary; ordin.aire; ordin.ate,ordain 动词 法令 普通的 平常的 纵坐标
libation,lib.ation,verified,obl.ation,祭祀之物；祭祀。没特指酒
sacrament,sacra.ment,verified,sacri.fice; Sacra.mento; sancti.monious,[ˈsækrɪfaɪs] 加州首府 假装虔诚的
invocation,in.voc.ation,verified,in.voke; a.vocation,动词 vocation [vəʊˈkeɪʃn] 职业 天职 召唤 [ˌævəʊˈkeɪʃn] 业余爱好 in. vit .ation 请柬
rogation,rog.ation,verified,,联想：耶稣那天叨叨叨rog
petition,pet.ition,verified,,
suffrage,suf.frage,verified,frag.ment,碎片 frag=fract 想象：下面的碎片 => 投票
upheaval,up.heav.al,verified,,heave v.用力举； 强烈起伏 heavy vicissitude （需要你面对的）变迁或困难 turmoil （人们的）巨大焦虑混乱的状态
instigate,in.stig.ate,verified,stig.ma,雄蕊。耻辱
disaffected,dis.af.fect.ed,verified,af.fect; af.fection; mal.content,v.影响(97%)； 感动( 3% ) n.感情(47%)，喜爱(27%)，影响(26%) n. 不满的人
caucus,cauc.us,verified,cact.us,北戴河caucus 。因为西方没有老领导半退休制度，允许党内分派别，所以还有另外两个意思 政党骨干会议；党内的小圈子 仙人掌
chimera,chi.mera,verified,chame.leon,变色龙
apparition,ap.par.ition,verified,ap.par.el,与appear同源 （商店里的）衣服 wraith （临终前后显现的）活人灵魂，鬼魂
apocalypse,apo.calyp.se,verified,eu.calyp.tus; cata.cly.sm; cata.strophe; apo.cry.pha,原意是启示录=>揭开盖子calyp 桉树 大灾变 = disaster 伪经
presage,pre.sage,verified,,sage 鼠尾草，贤人
nemesis,neme.sis,verified,,虽说词源是复仇女神，但是词义不是复仇，是复仇女神下手了=>报应。
retribution,re.tribut.ion,verified,,(11923) tribute 对死者吊唁。贡献。进贡。 nemesis (16017)报应、天谴 restitution 归还；赔偿：
fatality,fat.al.ity,verified,mort.al.ity,n.（可数、不可数）死亡数字 n.生命的有限性
blasphemy,blas.phemy,verified,eu.phem.ism,blas炸 phem话 blast 爆炸。强劲气流。猛烈批评
sceptre,scep.tre,verified,,发音是septer，拼写sc tre sceptre 长得跟 mace 一样，只是mace是实战武器，打击部位是金属做的，sceptre的是宝石。
talisman,tal.is.man,verified,tal.on,爪子 chrys alis (尤指蝴蝶或蛾的）蛹
immolate,im.mol.ate,verified,,-mol- 磨 cremate 火化 火葬
oblation,ob.lat.ion,verified,fer.re; ab.lat.ion; col.late; lib.ation,-lat- 拿；latus是的过去分词 [əˈbleɪʃn] 冰雪的消融；岩石的磨蚀 [kəˈleɪt] 校对（不同信息）整理（文件）； offering 最宽泛的一个词，上香，献花都算 sacrifice [ˈsækrɪfaɪs]强调献上生命 oblation 基督教用词，强调献给上帝的圣体圣血 祭酒 votive offering 还愿的祭品 immolation 通过焚烧（活物）献祭 tribute 可以是藩属国给宗主的贡品，也可以是宗教贡品但是强调的是臣服关系
seminary,semin.ary,verified,semin.ar,semin 种子 研讨会 。想象从前只有神学院可以开研讨班，没有物理学这样的学科 monastery [ˈmɒnəstri] 男修道院
cloister,cloi.ster,verified,cloi.ster.er,clo .se n.修士monk或修女nun recluse 隐居者（无宗教意味）
pantheon,pan.the.on,verified,,
sanctum,sanct.um,verified,,sanction 制裁、批准 sanctuary 避难所
shrine,shr.ine,verified,,sh .ine
minaret,mina.ret,verified,,
apocrypha,apo.cry.pha,verified,en.crypt; apo.calypse,pha 说 加密 （圣经）末世
gossip,gos.sip,verified,gos.pel,god sibling 福音书。福音
gospel,gosp.el,verified,gos.sip,
sorcery,sor.cer.y,verified,sor.cer.er; socc.er,男巫师 sort [ˈsɒkə] 足球
telepathy,tele.pathy,verified,anti.pathy; a.pathy; psycho.pathy; dermo.pathy,反感，厌恶；sympathy;empathy ['æpəθi] 冷漠 精神病 皮肤病
juggernaut,jug.ger.naut,verified,astro.nuat,宇航员
heterodox,hetero.dox,verified,ortho.dox; here.tic,联想：dox 道 正道的。heterodox 邪道的 异端者
Pharisee,Pha.ri.see,verified,,
sanctimonious,sancti.monious,verified,sancti.mony; sanct.uary; sacra.ment; pars.i.monious; acr.i.monious,名词 圣礼 假作圣人的 悭吝的 尖刻的
heretic,here.tic,verified,,heresy 异端邪说 heretical [hə'retɪkl] 形容词 hectic 紧张忙碌的 heterodox 异端的，非正统的
infidel,in.fid.el,verified,in.fid.el.ity; here.tic,（婚姻）不忠 异端（语气更重）
idolatry,ido.latry,verified,pluto.latry,金钱崇拜 idol n.偶像
martyr,mar.tyr,verified,,.
ascetic,a.sce.tic,verified,,想象：sce色 scene scent 气味；香味 austere 简朴的；严厉的；苦行的 acerbic 尖刻的
choir,ch.oir,verified,mem.oir; boud.oir; reserv.oir; chor.us,它发音不是[wɑː]而是[waɪə] 回忆录 闺房 水库 [ˈkɔːrəs]合唱，合唱团 chore [tʃɔːr] 家庭杂务
sibyl,sib.yl,verified,vin.yl,
lectern,lect.ern,verified,col.lect; pod.ium,讲台；讲坛；（乐队的）指挥台
repose,re.pose,verified,pro.pose; im.pose; de.pose; dis.pose,repository 仓库； 提议；求婚；祝酒； （政府）推行；强迫实行； 废黜 休息；搁置； 布置安排；处置；
tranquil,tran.quil,verified,qui.escent; se.re.ne,无声、平和 quiet and peaceful 静止，not active 镇定平和 calm and peaceful
quiescent,quie.scent,verified,ac.qui.esce; adole.scent; cre.scent,vi. 默许；勉强同意 quiet 安静 quite 很，非常 新月 -escent 形容词后缀，具有xx特征的； -esce 动词后缀; -escence 名词后缀;
placid,plac.id,verified,,place pallid （人，脸色）苍白的
pastoral,pastor.al,verified,,pastor [ˈpɑːstə(r)] 牧师（非英国国教的）
dormant,dorm.ant,verified,domin.ant,dorm = dormitory 宿舍 占支配地位的；（基因）显性的；
eaves,eav.es,verified,eaves.drop,联想：eav的复数
gutter,gutt.er,verified,,gut 肠子；勇气
terrace,terra.ce,verified,terra.pin,（北美的一种）水龟
sprocket,spr.ock.et,verified,rock.et; ra.tch.et,发音：死拨... 棘轮
saddle,sad.dle,verified,,想象：发明马鞍使马 凉鞋：sandal /'sændl/ 沙滩sand的
culpable,culp.able,verified,,culprit 肇事者；罪犯； reprehensible 是不道德的应受指责的，本词并没有“不道德”的意思
chastise,chast.ise,verified,chast.en,chaste 贞洁的 chase 追 使内疚 v.严厉批评；体罚 （以上三个词的意思能看出关联） treatise 专题论文 treat 对待 cheat 欺骗
nugatory,nug.atory,verified,nug.get,发音“牛轧糖哩” [ˈnʌɡɪt] 天然金块 paltry 数量上可忽略不计的；无价值无用的
subsidiary,sub.sidi.ary,verified,sub.sidy; sub.side,补贴 沉降 子公司(88%)，附属机构(4%)，辅助的(4%)，附属的(3%)，
negligible,neg.lig.ible,verified,neg.lig.ent; neg.lect,lig=lect 选 玩忽职守的；放松随意的； v.忽视 meager adj. 最常用。数量不足，低于正常或期望值(9821) paltry adj.（贬义）数量少到可以忽略不计.无价值的(16454) negligible adj.强调数量小到无关紧要，不值得考虑(12388) exiguous 的词频过低无法显示
paltry,pal.try,verified,pau.city; pan.try,n.数量上的少、缺乏 食品储藏室 nugatory 无目的的，无价值的 meagre adj. 最常用。数量不足，低于正常或期望值(9821) paltry adj.（贬义）数量少到可以忽略不计.无价值的(16454) negligible adj.强调数量小到无关紧要，不值得考虑(12388) exiguous 的词频过低无法显示
venial,ven.ial,verified,ven.us; gen.ial,维纳斯 金星 友好且高兴的
trifle,tri.fle,verified,,rifle trivial 不重要的，琐碎的
turpitude,turp.itude,verified,tur.tle,海龟；(informal)龟的统称 burp 打嗝 scruple n.（道德上的）顾忌，顾虑
sordid,sord.id,verified,,肮脏的=>无耻的 sord 拉丁词根 肮脏 smutty (informal) (文字图片）淫秽的
shabby,sh.abby,verified,fl.abby,（肌肉）松弛的；肥胖的
ribald,rib.ald,verified,,-ald 常见组合如bald donald herald scald rib 肋骨 rabid 有狂犬病的，疯狂的： bawdy 喧闹并猥亵作乐的
impassive,im.pass.ive,verified,dis.pass.ion.ate; pass.ive; im.passe,（内心）没有感情波动的 消极的被动的 僵局 nonchalant 表现得很从容镇定的样子 apathetic 无兴趣无热情的（内在情感/兴趣的缺失）
valiant,vali.ant,verified,gall.ant,valour =valor 名词 vary v.不同。变化 勇敢的；对女子献殷勤的
gallant,gall.ant,verified,,gall 瘿；厚颜无耻 gallows 绞刑架 英勇的(36%)，华丽的(25%)，献殷勤(13%)，雄伟的(11%)，时髦男士(5%)，求爱者(5%)，对女子殷勤的男士(5%)
temerity,te.merity,verified,,强调对形势的错误估计，是一种愚蠢，贬义词 merit 优点 audacity 强调这种无礼大胆（大多褒义） impudent adj.粗鲁不恭的
prosaic,pro.sa.ic,verified,pro.se; mo.sa.ic,[ prəʊz] 散文 马赛克
monotonous,mono.ton.ous,verified,,
tedium,ted.ium,verified,,ted tedious 形容词 humdrum 形容词
insipid,in.si.pid,verified,in.tre.pid,banal : 非常普通，无趣也不重要 无畏的 无味道的；乏味的
dreary,dr.ear.y,verified,,dear
threadbare,thread.bare,verified,,bare 赤裸的 联想：牛仔裤的线赤裸出来了
banal,ban.al,verified,,banana 香蕉； canard n.虚假的新闻
convention,con.vent.ion,verified,inter.vent.ion,调停；干涉； 大会(52%)，公约(22%)，惯例(17%)，协定(9%)
dilapidated,di.lapid.ated,verified,,lapidary 优雅准确的；关于石加工的
raffish,raff.ish,verified,raff.le; ruff.le; ruff.ian; slov.en,raff- ruff- 弄乱 RAF 皇家空军 抽奖 弄乱 恶棍 懒散的人，不修边幅的人
